unix,date,symbol,open,high,low,close,Volume BTC,Volume ETH
1619308800000,2021-04-25 00:00:00,ETH/BTC,0.044303,0.044619,0.044212,0.044565,3.91228051220955,87.78818607
1619305200000,2021-04-24 23:00:00,ETH/BTC,0.044507,0.044776,0.043875,0.044296,32.776259903750166,739.93723821
1619301600000,2021-04-24 22:00:00,ETH/BTC,0.044954,0.044986,0.044499,0.044499,3.8452647646139995,86.412386
1619298000000,2021-04-24 21:00:00,ETH/BTC,0.045083,0.045083,0.044803,0.044918,14.003296224792042,311.75244278
1619294400000,2021-04-24 20:00:00,ETH/BTC,0.044806,0.045296,0.044512,0.045007,32.10235185795107,713.27464301
1619290800000,2021-04-24 19:00:00,ETH/BTC,0.044824,0.044921,0.044774,0.044774,7.3299208810035,163.70931525
1619287200000,2021-04-24 18:00:00,ETH/BTC,0.044903,0.045073,0.044776,0.044776,14.6746282429268,327.73423805
1619283600000,2021-04-24 17:00:00,ETH/BTC,0.044777,0.044895,0.044545,0.044874,4.25562851115936,94.83506064
1619280000000,2021-04-24 16:00:00,ETH/BTC,0.044766,0.045091,0.044698,0.044791,4.150270232825,92.658575
1619276400000,2021-04-24 15:00:00,ETH/BTC,0.044528,0.045039,0.044357,0.044784,4.7102915990232,105.17800105
1619272800000,2021-04-24 14:00:00,ETH/BTC,0.044644,0.044855,0.044464,0.044605,3.3490231680136,75.08178832
1619269200000,2021-04-24 13:00:00,ETH/BTC,0.044826,0.044878,0.044646,0.04474,3.258286031085,72.82713525
1619265600000,2021-04-24 12:00:00,ETH/BTC,0.044374,0.045047,0.044274,0.044978,13.82923076971118,307.46655631
1619262000000,2021-04-24 11:00:00,ETH/BTC,0.044616,0.044903,0.044248,0.044425,20.90494400968525,470.56711333
1619258400000,2021-04-24 10:00:00,ETH/BTC,0.04542,0.04542,0.044603,0.044666,19.9278785163047,446.15319295
1619254800000,2021-04-24 09:00:00,ETH/BTC,0.045669,0.045714,0.045434,0.045434,2.72121742896964,59.89385546
1619251200000,2021-04-24 08:00:00,ETH/BTC,0.045591,0.045888,0.045334,0.045683,30.389391001561243,665.22319028
1619247600000,2021-04-24 07:00:00,ETH/BTC,0.045417,0.045795,0.045417,0.045642,1.4944396584048598,32.74264183
1619244000000,2021-04-24 06:00:00,ETH/BTC,0.045904,0.045907,0.045354,0.045392,4.965333052977281,109.38784484
1619240400000,2021-04-24 05:00:00,ETH/BTC,0.045811,0.046029,0.045682,0.045963,4.4965355904030595,97.82946262
1619236800000,2021-04-24 04:00:00,ETH/BTC,0.045819,0.04611,0.045717,0.045822,5.026660615662,109.699721
1619233200000,2021-04-24 03:00:00,ETH/BTC,0.045669,0.046188,0.045669,0.045767,3.5189246547345197,76.88781555999999
1619229600000,2021-04-24 02:00:00,ETH/BTC,0.045493,0.04567,0.045151,0.04567,1.7337034171683,37.96153749
1619226000000,2021-04-24 01:00:00,ETH/BTC,0.045509,0.045808,0.045488,0.045646,0.8166026355822,17.8899057
1619222400000,2021-04-24 00:00:00,ETH/BTC,0.046229,0.046275,0.045331,0.045475,20.8809463038925,459.1741903
1619218800000,2021-04-23 23:00:00,ETH/BTC,0.045906,0.046363,0.045896,0.046296,6.024889165925519,130.13843887
1619215200000,2021-04-23 22:00:00,ETH/BTC,0.045922,0.045989,0.045784,0.045966,0.6056746634095199,13.17657972
1619211600000,2021-04-23 21:00:00,ETH/BTC,0.045943,0.04653,0.045854,0.045854,6.250926150235119,136.32237428
